Episode,Total Reward,Traditional Reward,Non-traditional Reward,Timesteps
0,0
1, 10.99, 1, 9.99, 100
2, 9.99, 0, 9.99, 100
3, 9.99, 0, 9.99, 100
4, 9.99, 0, 9.99, 100
5, 9.99, 0, 9.99, 100
6, 9.99, 0, 9.99, 100
7, 9.99, 0, 9.99, 100
8, 9.99, 0, 9.99, 100
9, 9.99, 0, 9.99, 100
10, 9.99, 0, 9.99, 100
11, 9.99, 0, 9.99, 100
12, 9.99, 0, 9.99, 100
13, 9.99, 0, 9.99, 100
14, 9.99, 0, 9.99, 100
15, 9.99, 0, 9.99, 100
16, 9.99, 0, 9.99, 100
17, 9.99, 0, 9.99, 100
18, 9.99, 0, 9.99, 100
19, 9.99, 0, 9.99, 100
20, 9.99, 0, 9.99, 100
